Group		MI Ensemble	Plurality Ensemble	Ensemble Classification Error	FNR	FPR
Coupled + prot att	All	(.3189, .3567)	(.3047, .3372)	0.3397	0.352	0.3298
	Black	(.4737, .5334)	(.4766, .5238)	0.3543	0.2241	0.4885
	White	(.4390, .5034)	(.4326, .5)	0.3192	0.5373	0.1893
	Female	(.4632, .5555)	(.4402, .5444)	0.3191	0.4931	0.2205
	Male	(.4834, .5243)	(.4972, .5468)	0.3447	0.3255	0.3616
						
Coupled	All	(.3061, .3451)	(.3009, .3381)	0.3348	0.385	0.2943
	Black	(.4774, .5291)	(.4807, .5380)	0.3459	0.2907	0.4027
	White	(.4409, .5092)	(.4332, .4992)	0.3163	0.5137	0.1986
	Female	(.4685, .5543)	(.4460, .5452)	0.3367	0.4653	0.2638
	Male	(.4767, .5236)	(.4930, .5319)	0.3344	0.3699	0.3032
						
Decoupled	All - Race	(.3084, .3453)	(.3098, .3493)	0.3349	0.2907	0.4027
	All - Sex	(.3061, .3405)	(.3101, .3427)	0.3284	0.3905	0.2784
	Black	(.3174, .3707)	(.3230, .3679)	0.3459	0.2907	0.4027
	White	(.2745, .3392)	(.2689, .3315)	0.3177	0.4784	0.222
	Female	(.2590, .3338)	(.2714, .3652)	0.304	0.5	0.1929
	Male	(.3119, .3493)	(.3120, .3478)	0.3344	0.3699	0.3032
