Group		MI Ensemble	Plurality Ensemble	Ensemble Classification Error	FNR	FPR
Coupled + prot att	All	(.0932, .1147)	(.0771, .1017)	0.107	0.9861	0.0027
	Black	(.0921, .1244)	(.0931, .1352)	0.124	0.9766	0.0033
	White	(.0919, .1290)	(.0867, .1231)	0.0966	1	0.0031
	Female	(.0676, .1127)	(.0743, .1207)	0.0618	1	0
	Male	(.0920, .1225)	(.1003, .1295)	0.1188	0.9842	0.0035
						
Coupled	All	(.0943, .1139)	(.0756, .0956)	0.1075	0.9861	0.0033
	Black	(.0939, .1265)	(.0876, .1276)	0.124	0.9766	0.0033
	White	(.0891, .1275)	(.0793, .1199)	0.098	1	0.0047
	Female	(.0703, .117)	(.0641, .1218)	0.0618	1	0
	Male	(.0967, .1240)	(.0954, .1258)	0.1194	0.9842	0.0042
						
Decoupled	All - race	(.0951, .1191)	(.0921, .1191)	0.1112	0.9897	0.0006
	All - sex	(.0968, .1203)	(.0787, .0965)	0.1105	0.9861	0.0066
	Black	(.1038, .1383)	(.0920, .1287)	0.1231	0.9844	0.0011
	White	(.0779, .1075)	(.0737, .1074)	0.0938	1	0
	Female	(.0409, .0746)	(.0405, .0810)	0.0618	1	0
	Male	(.1077, .1340)	(.0865, .1103)	0.1231	0.9842	0.0084
