Group		MI Ensemble	Plurality Ensemble	Ensemble Classification Error	FNR	FPR
Coupled + prot att	All	(.0726, .0812)	(.2426, .2542)	0.095	0.2833	0.0004
	Black	(.3811, .4296)	(.2971, .3415)	0.4296	0.3202	0
	White	(.4157, .4296)	(.3298, .3442)	0.1002	0.2896	0.0006
	Female	(.4096, .4324)	(.3279, .3484)	0.1006	0.2817	0.001
	Male	(.4116, .4309)	(.3336, .3487)	0.0906	0.2846	0
						
Coupled	All	(.1743, .1848)	(.2976, .3092)	0.1892	0.5659	0
	Black	(.3475, .3900)	(.3012, .3477)	0.1718	0.5618	0
	White	(.3781, .3934)	(.3277, .3441)	0.2037	0.5912	0
	Female	(.3779, .3971)	(.3277, .3512)	0.2048	0.5768	0
	Male	(.3812, .3989)	(.3302, .3452)	0.1772	0.5564	0
						
Decoupled	All - Race	(.2693, .2810)	(.3255, .3401)	0.2777	0.816	0
	All - Sex	(.2226, .2339)	(.3161, .3274)	0.2334	0.6974	0.0003
	Black	(.2790, .3264)	(.2820, .3270)	0.3041	0.9944	0
	White	(.2626, .2796)	(.3284, .3450)	0.2746	0.7971	0
	Female	(.3049, .3235)	(.3401, .3612)	0.3176	0.8939	0.0005
	Male	(.1515, .1664)	(.2904, .3083)	0.1684	0.5284	0.0002
